date,season,competition,team,opponent,is_home,goals_scored,goals_conceded,result,points,avg_scored_last5,avg_conceded_last5,avg_pts_last5,win_rate_last5
2014-06-12,2014,World Cup,Croatia,,1,3,1,W,3,,,,0.0
2014-06-18,2014,World Cup,Croatia,,1,0,4,L,0,3.0,1.0,3.0,0.5
2014-06-23,2014,World Cup,Croatia,,1,1,3,L,0,1.5,2.5,1.5,0.33
2018-06-16,2018,World Cup,Croatia,Nigeria,1,2,0,W,3,1.33,2.67,1.0,0.25
2018-06-21,2018,World Cup,Croatia,Argentina,0,3,0,W,3,1.5,2.0,1.5,0.4
2018-06-26,2018,World Cup,Croatia,Iceland,0,2,1,W,3,1.8,1.6,1.8,0.6
2022-11-23,2022,World Cup,Croatia,Morocco,0,0,0,D,1,1.6,1.6,1.8,0.6
2022-11-27,2022,World Cup,Croatia,Canada,1,4,1,W,3,1.6,0.8,2.0,0.6
2022-12-01,2022,World Cup,Croatia,Belgium,1,0,0,D,1,2.2,0.4,2.6,0.8
2026-06-27,2026,World Cup,Croatia,England,0,2,4,L,0,1.8,0.4,2.2,0.6
2026-06-27,2026,World Cup,Croatia,Panama,0,1,0,W,3,1.6,1.2,1.6,0.4
2026-06-27,2026,World Cup,Croatia,Ghana,1,2,1,W,3,1.4,1.0,1.6,0.4
